filename,has_hostname,has_enable_secret,has_line_vty,vty_has_login,has_ssh,no_ip_domain_lookup,has_routing_protocol,has_static_routes,ospf_network_configured,eigrp_network_configured,rip_network_configured,bgp_network_configured,has_management_ip,ip_addresses_overlap,label
basic-cisco-router-config.txt,1,0,1,0,1,0,0,1,1,1,1,1,0,0,incomplete_config
Secure_NTP_config.txt,1,0,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
primarysite_router-2_config.txt,0,1,1,1,1,0,1,1,1,1,1,1,0,0,incomplete_config
start-up.config.txt,0,0,1,1,0,0,0,1,1,1,1,1,0,0,incomplete_config
RC_running-config.txt,1,1,1,1,0,0,1,1,1,1,1,1,0,0,ok
variant_ok_SW_config.txt,1,1,1,1,1,0,1,0,1,0,1,1,0,0,incomplete_config
Router2_running-config.txt,1,1,1,1,0,1,1,0,0,1,1,1,0,0,incomplete_config
17112022_config.txt,1,0,1,1,0,0,0,1,1,1,1,1,0,0,incomplete_config
router_Rchiheb_config.txt,1,1,1,1,1,0,0,1,1,1,1,1,0,0,ok
variant_missing_noTrunk_config.txt,0,0,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
Router1_running-config.txt,1,0,1,1,0,0,1,0,1,1,1,1,0,0,incomplete_config
router_Rtest_config.txt,1,1,1,1,1,0,0,1,1,1,1,1,0,0,ok
WOK_VSS_WAN_config.txt,1,1,1,0,0,1,1,1,1,1,1,1,0,0,incomplete_config
variant_missing_access-list_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
JEDDAH-1110141871_config.txt,1,0,0,0,1,0,1,1,1,1,1,0,0,0,incomplete_config
31452_config.txt,1,1,0,0,1,0,0,1,1,1,1,1,0,0,ok
variant_missing_rip_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
running-config.txt,1,1,1,1,0,0,0,1,1,1,1,1,0,0,ok
switch_swchiheb_config.txt,1,0,1,1,0,1,0,0,1,1,1,1,0,0,incomplete_config
primarysite_routerOK_config.txt,0,1,1,1,1,0,1,1,1,1,1,1,0,0,incomplete_config
variant_missing_subintIp_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
variant_missing_ospfNetwork_config.txt,1,1,1,1,1,0,1,0,0,1,1,1,0,0,incomplete_config
variant_missing_networkEigrp_config.txt,1,1,1,1,1,0,1,0,1,0,1,1,0,0,incomplete_config
variant_missing_encapsulation_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
6880-LENO_sh_tech_config.txt,0,1,1,1,1,1,0,1,1,1,1,1,0,0,incomplete_config
cube1-running_config.txt,1,0,1,1,1,0,0,1,1,1,1,1,0,0,incomplete_config
variant_missing_ssh_config.txt,1,1,1,1,0,0,1,0,1,1,1,1,0,0,ok
variant_missing_noShut_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
variant_missing_noDomaine_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
variant_missing_no_hostnameSW_config.txt,0,0,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
CiscoCatalyst2960Ok_config.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,ok
192.168.52.253_2022-03-17_18_58_05_config.txt,0,0,0,0,0,0,0,0,1,1,1,1,0,0,incomplete_config
variant_missing_ospf_ssh_config.txt,1,1,1,1,0,0,1,0,1,1,1,1,0,0,ok
24351-R1_config copie.txt,1,0,1,1,0,0,0,1,1,1,1,1,0,0,incomplete_config
Router_config.txt,1,1,1,1,1,0,0,1,1,1,1,1,0,0,ok
Core-Switch1-IP10-V2_config.txt,0,0,1,1,0,0,0,1,1,1,1,1,0,0,incomplete_config
cisco_9_config.txt,1,1,1,1,0,1,0,0,1,1,1,1,0,0,ok
router_bOK_config.txt,1,1,1,0,1,0,0,1,1,1,1,1,0,0,ok
Cisco2811RouterOK_config.txt,1,1,1,1,0,0,1,1,1,1,1,1,0,0,ok
variant_missing_no_hostname_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
variant_missing_noAccess_config.txt,1,0,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
8787-Cisco_4506_config.txt,1,1,1,1,1,0,1,1,1,1,1,1,0,0,ok
variant_missing_ip_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
variant_missing_eigrp_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
2789-router info_config.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,ok
webauth_config.txt,0,1,1,0,0,1,0,1,1,1,1,1,0,0,incomplete_config
Switch-C9300-001_run-all_config.txt,1,1,1,1,1,0,0,1,1,1,1,1,0,0,ok
Router0_running-config.txt,1,1,1,1,0,1,1,1,1,1,1,1,0,0,ok
C1111-8P Bridge_Config.txt,1,0,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
HQrunning_config.txt,1,0,1,0,1,0,0,1,1,1,1,1,0,0,incomplete_config
router-config-2_config.txt,0,1,1,0,1,0,0,1,1,1,1,1,0,0,incomplete_config
show_config.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,ok
Switch_config.txt,1,1,1,1,0,0,0,1,1,1,1,1,0,0,ok
HQ9300-InternetWorking_config.txt,1,1,1,1,0,0,1,1,1,1,1,1,0,0,ok
R_OSPF_running-config.txt,1,0,1,1,0,0,1,0,1,1,1,1,0,0,incomplete_config
variant_missing_ripNetwork_config.txt,1,1,1,1,1,0,1,0,1,1,0,1,0,0,incomplete_config
34090-router_config.txt,1,0,1,1,0,0,0,1,1,1,1,1,0,0,incomplete_config
configex_config.txt,1,1,1,0,0,0,0,1,1,1,1,1,0,0,incomplete_config
variant_missing_no_auto-summary_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
router_a_config.txt,0,1,1,0,1,0,0,1,1,1,1,1,0,0,incomplete_config
R_Static_running-config.txt,1,0,1,1,0,0,1,1,1,1,1,1,0,0,incomplete_config
24351-R1_config.txt,1,0,1,1,0,0,0,1,1,1,1,1,0,0,incomplete_config
variant_missing_password_config.txt,1,1,1,0,1,0,1,0,1,1,1,1,0,0,ok
Switch1_running-config.txt,1,0,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
variant_missing_no_hostname1_config.txt,0,1,1,1,1,0,1,0,1,1,1,1,0,0,incomplete_config
far-side_config.txt,1,1,1,0,1,0,0,1,1,1,1,1,0,0,ok
vlan_missing_name.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
eigrp_missing_as.txt,1,1,1,1,1,0,1,0,1,1,0,1,0,0,incomplete_config
full_secure_router.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,0,ok
dhcp_no_pool.txt,1,1,0,0,0,0,0,0,1,1,1,1,0,0,incomplete_config
ipv6_ok.txt,1,1,1,1,1,1,0,0,1,1,1,1,1,0,ok
missing_banner.txt,1,1,1,1,1,0,0,0,1,1,1,1,0,0,ok
acl_no_apply.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
hsrp_ok.txt,1,1,1,1,1,1,0,0,1,1,1,1,1,0,ok
ntp_insecure.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
port_security_ok.txt,1,1,1,1,1,1,0,0,1,1,1,1,0,0,ok
missing_logging.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
vlan_trunk_ok.txt,1,1,1,1,1,1,0,0,1,1,1,1,1,0,ok
cdp_disabled.txt,1,1,1,1,1,1,0,0,1,1,1,1,0,0,ok
telnet_only.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
sshv2_only.txt,1,1,1,1,1,1,0,0,1,1,1,1,0,0,ok
stp_missing.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
vlan_no_ip.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
full_insecure.txt,0,0,1,0,0,0,0,0,1,1,1,1,0,0,incomplete_config
best_practice_switch.txt,1,1,1,1,1,1,0,0,1,1,1,1,1,0,ok
missing_snmp.txt,1,1,1,1,1,0,0,0,1,1,1,1,0,0,ok
bgp_missing_peer.txt,1,1,1,1,1,0,1,0,1,1,1,0,1,0,incomplete_config
ipv6_missing_ospf.txt,1,1,1,1,1,1,1,0,1,1,1,1,1,0,incomplete_config
full_secure_firewall.txt,1,1,1,1,1,1,0,0,1,1,1,1,1,0,ok
vlan_hopping_risk.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,1,incomplete_config
qos_missing.txt,1,1,1,1,1,0,0,0,1,1,1,1,0,0,incomplete_config
perfect_edge_router.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,0,ok
dhcp_snooping_off.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
wireless_controller_ok.txt,1,1,1,1,1,1,0,0,1,1,1,1,1,0,ok
missing_vtp_password.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
full_ha_cluster.txt,1,1,1,1,1,1,1,0,1,1,1,1,1,0,ok
telnet_insecure.txt,1,1,1,0,0,0,0,0,1,1,1,1,0,0,incomplete_config
voice_vlan_ok.txt,1,1,1,1,1,1,0,0,1,1,1,1,1,0,ok
stp_loop_risk.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,1,incomplete_config